Date,Level,Away,Home,Away Parent Club,Home Parent Club
4-Apr,AAA,Round Rock,El Paso,Rangers,Padres
5-Apr,AAA,Tacoma,Salt Lake City,Mariners,Angels
9-Apr,AA,Binghamton,Erie,Mets,Tigers
11-Apr,AAA,Iowa,St. Paul,Cubs,Twins
13-Apr,AAA,Rochester,Buffalo,Nationals,Blue Jays
13-Apr,A+,Dayton,Cedar Rapids,Reds,Twins
14-Apr,AA,Harrisburg,Altoona,Nationals,Pirates
14-Apr,A,Augusta,Kannapolis,Braves,White Sox
18-Apr,AAA,Round Rock,Sugar Land,Rangers,Astros
18-Apr,AA,Frisco,Arkansas,Rangers,Mariners
19-Apr,AAA,Louisville,Iowa,Reds,Cubs
20-Apr,AA,Tulsa,Wichita,Dodgers,Twins
25-Apr,A+,Asheville,Hickory,Astros,Rangers
25-Apr,A,Lakeland,Tampa,Tigers,Yankees
26-Apr,A,Lakeland,Tampa,Tigers,Yankees
27-Apr,A,Augusta,Columbia,Braves,Royals
30-Apr,AAA,Louisville,St. Paul,Reds,Twins
30-Apr,A,Fresno,Inland Empire,Rockies,Angels
1-May,A+,Vancouver,Tri-City,Blue Jays,Angels
2-May,A+,Bowling Green,Jersey Shore,Rays,Phillies
2-May,A+,West Michigan,Dayton,Tigers,Reds
3-May,AAA,Omaha,Iowa,Royals,Cubs
4-May,AAA,Scranton,Jacksonville,Yankees,Marlins
4-May,AA,Harford,Binghamton,Rockies,Mets
5-May,AA,Altoona,Harrisburg,Pirates,Nationals
8-May,A,Rancho Cucamonga,Visalia,Dodgers,Diamondbacks
9-May,A+,Hickory,Greenville,Rangers,Red Sox
10-May,A+,Hickory,Greenville,Rangers,Red Sox
11-May,AAA,Charlotte,Gwinnett,White Sox,Braves
11-May,AA,Arkansas,Wichita,Mariners,Twins
12-May,AA,Mississippi,Rocket City,Braves,Angels
15-May,A+,Beloit,Wisconsin,Marlins,Brewers
15-May,AAA,Salt Lake City,Tacoma,Angels,Mariners
16-May,AAA,Durham,Charlotte,Rays,White Sox
17-May,AAA,El Paso,Las Vegas,Padres,A's
19-May,AAA,Omaha,St. Paul,Royals,Twins
21-May,A,Kannapolis,Augusta,White Sox,Braves
21-May,A,San Jose,Lake Elsinore,Giants,Padres
23-May,A,Palm Beach,Lakeland,Cardinals,Tigers
23-May,AA,Amarillo,NW Arkansas,Diamondbacks,Royals
25-May,A,Stockton,Inland Empire,A's,Angels
28-May,AA,Springfield,Wichita,Cardinals,Twins
29-May,AAA,St. Paul,Rochester,Twins,Nationals
29-May,A+,South Bend,Quad Cities,Cubs,Royals
30-May,AAA,Scranton,Toledo,Yankees,Tigers
31-May,AAA,Oklahoma City,Albuquerque,Dodgers,Rockies
1-Jun,A,Inland Empire,Visalia,Angels,Diamondbacks
2-Jun,AAA,Buffalo,Syracuse,Blue Jays,Mets
2-Jun,A,Jupiter,Daytona,Marlins,Reds
4-Jun,AA,Harrisburg,Reading,Nationals,Phillies
6-Jun,A+,Quad Cities,Wisconsin,Royals,Brewers
6-Jun,A,Lake Elsinore,Inland Empire,Padres,Angels
7-Jun,AAA,Sugar Land,Salt Lake City,Astros,Angels
8-Jun,A+,Quad Cities,Wisconsin,Royals,Brewers
9-Jun,AA,Wichita,NW Arkansas,Twins,Royals
13-Jun,A+,Wisconsin,West Michigan,Brewers,Tigers
13-Jun,AA,Pensacola,Birmingham,Marlins,White Sox
14-Jun,AAA,Worcester,Buffalo,Red Sox,Blue Jays
15-Jun,AAA,Indianapolis,Jacksonville,Pirates,Marlins
15-Jun,A+,Rome,Bowling Green,Braves,Rays
16-Jun,AAA,Scranton,Rochester,Yankees,Nationals
19-Jun,A+,Peoria,Cedar Rapids,Cardinals,Twins
19-Jun,A+,Vancouver,Tri-City,Blue Jays,Angels
20-Jun,AAA,Buffalo,Scranton,Blue Jays,Yankees
22-Jun,AAA,Albuquerque,Oklahoma City,Diamondbacks,Dodgers
22-Jun,AA,San Antonio,Amarillo,Padres,Diamondbacks
23-Jun,AAA,Jacksonville,Memphis,Marlins,Cardinals
25-Jun,AAA,El Paso,Round Rock,Padres ,Rangers
26-Jun,AA,Midland,San Antonio,A's,Padres
27-Jun,AAA,El Paso,Round Rock,Padres ,Rangers
27-Jun,A,Down East,Delmarva,Rangers,Orioles
29-Jun,AAA,Charlotte,Norfolk,White Sox,Orioles
2-Jul,AAA,Rochester,Buffalo,Nationals,Blue Jays
3-Jun,A+,Eugene,Hillsboro,Giants,Diamondbacks
4-Jul,AA,NW Arkansas,Springfield,Royals,Cardinals
4-Jul,A+,Quad Cities,Cedar Rapids,Royals,Twins
5-Jul,A+,South Bend,Peoria,Cubs,Cardinals
5-Jul,A+,Hillsboro,Eugene,Diamondbacks,Giants
6-Jul,AAA,Louisville,Indianapolis,Reds,Pirates
9-Jul,A,Carolina,Fredericksburg,Brewers,Nationals
11-Jul,AAA,Buffalo,Lehigh,Blue Jays,Phillies
11-Jul,A,Kannapolis,Myrtle Beach,White Sox,Cubs
12-Jul,A+,Hudson Valley,Jersey Shore,Yankees,Phillies
13-Jul,A+,South Bend,Dayton,Cubs,Reds
14-Jul,AAA,El Paso,Oklahoma City,Padres,Dodgers
14-Jul,A+,Cedar Rapids,Beloit,Twins,Marlins
19-Jul,AAA,Scranton,Buffalo,Yankees,Blue Jays
19-Jul,A,Down East,Delmarva,Rangers,Orioles
20-Jul,AA,Erie,Binghamton,Tigers,Mets
20-Jul,A,Augusta,Kannapolis,Braves,White Sox
20-Jul,A,Charleston,Fayetteville,Rays,Astros
21-Jul,A,Myrtle Beach,Columbia,Cubs,Royals
23-Jul,A+,Hudson Valley,Wilmington,Yankees,Nationals
24-Jul,A+,Winston,Bowling Green,White Sox,Rays
26-Jul,A+,Asheville,Greensboro,Astros,Pirates
27-Jul,AA,San Antonio,Midland,Padres,A's
28-Jul,A,Fresno,Stockton,Rockies,A's
31-Jul,A+,Brooklyn,Aberdeen,Mets,Orioles
31-Jul,A,Inland Empire,Modesto,Angels,Mariners
1-Aug,A+,Tri-City,Vancouver,Angels,Blue Jays
2-Aug,AA,Midland,Arkansas,A's,Mariners
3-Aug,A+,Dayton,Lansing,Reds,A's
6-Aug,AAA,Charlotte,Louisville,White Sox,Reds
7-Aug,AA,Binghamton,Somerset,Mets ,Yankees
7-Aug,AA,NW Arkansas,Amarillo,Royals,Diamondbacks
8-Aug,A,Palm Beach,Dunedin,Cardinals,Blue Jays
9-Aug,AAA,Rochester,Buffalo,Nationals,Blue Jays
10-Aug,A,Clearwater,Lakeland,Phillies,Tigers
10-Aug,A,Bradenton,St. Lucie,Pirates,Mets
11-Aug,A,Bradenton,St. Lucie,Pirates,Mets
11-Aug,AA,Tulsa,Arkansas,Dodgers,Mariners
13-Aug,A,Fayetteville,Augusta,Astros,Braves
16-Aug,AA,Tennessee,Birmingham,Cubs,White Sox
16-Aug,AAA,Columbus,Iowa,Guardians,Cubs
17-Aug,AAA,Syracuse,Rochester,Mets,Nationals
18-Aug,A+,Dayton,Fort Wayne,Reds,Padres
18-Aug,AAA,Sugar Land,Tacoma,Astros,Mariners
20-Aug,AAA,Worcester,Norfolk,Red Sox,Orioles
22-Aug,AA,Corpus Christi,Amarillo,Astros,Diamondbacks
23-Aug,AAA,Albuquerque,Sugar Land,Rockies,Astros
24-Aug,A+,Asheville,Greensboro,Astros,Pirates
24-Aug,AA,Tulsa,Springfield,Dodgers,Cardinals
25-Aug,A+,Rome,Greenville,Braves,Red Sox
27-Aug,AA,New Hampshire,Altoona,Blue Jays,Pirates
27-Aug,A+,Great Lakes,South Bend,Dodgers,Cubs
29-Aug,AA,Birmingham,Chattanooga,White Sox,Reds
29-Aug,AAA,Oklahoma City,Round Rock,Dodgers,Rangers
31-Aug,AAA,St. Paul,Omaha,Twins,Kansas City
31-Aug,A+,Great Lakes,South Bend,Dodgers,Cubs
1-Sep,AA,Birmingham,Chattanooga,White Sox,Reds
1-Sep,A+,Vancouver,Hillsboro,Blue Jays,Diamondbacks
4-Sep,AAA,Lehigh Valley,Buffalo,Phillies,Blue Jays
4-Sep,A,Lynchburg,Fredericksburg,Guardians,Nationals
5-Sep,AA,Erie,Reading,Tigers,Phillies
6-Sep,AAA,Jacksonville,Louisville,Marlins,Reds
6-Sep,A,San Jose,Fresno,Giants,Rockies
7-Sep,A+,Wilmington,Brooklyn,Nationals,Mets
8-Sep,AAA,Sacramento,Salt Lake City,Giants,Angels
8-Sep,AAA,Gwinett,Nashville,Braves,Brewers
10-Sep,AAA,Memphis,Nashville,Cardinals,Brewers
11-Sep,AAA,Tacoma,Oklahoma City,Mariners,Dodgers
12-Sep,AA,Reading,Harrisburg,Phillies,Nationals
14-Sep,AAA,St. Paul,Columbus,Twins,Guardians
