player_id,player_name,level,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,batting_average,on_base_percentage,slugging_percentage,era,whip,strike_percentage,ops,primary_position
444482,David Peralta,AAA,3,10,0,2,0,0,0,1,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0.2,0.2727272727272727,0.2,NA,NA,0,0.4727272727272727,Batter
456501,Johnny Cueto,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,9,7,7,1,5,2,0,0,NA,NA,NA,15,2.380952380952381,62.76595744680851,NA,Pitcher
458015,Joey Votto,AAA,1,3,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
493329,Yuli Gurriel,AAA,1,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,NA,NA,0,0.25,Batter
501303,Ehire Adrianza,AAA,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,NA,NA,0,0.3333333333333333,Batter
502179,Paolo Espino,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,0,3,1,0,0,NA,NA,NA,9,1.5,70.37037037037037,NA,Pitcher
506702,Sandy León,AAA,2,6,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,NA,NA,0,0.14285714285714285,Batter
516416,Jean Segura,AAA,1,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,NA,NA,0,0.5,Batter
516853,Wilking Rodríguez,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,NA,NA,NA,0,1,66.66666666666666,NA,Pitcher
518397,Scott Alexander,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,76.92307692307693,NA,Pitcher
518633,Danny Duffy,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,4,1,0,0,0,NA,NA,NA,13.5,2.5,50,NA,Pitcher
519303,Elliot Soto,AAA,3,12,1,5,0,0,0,0,1,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,0.46153846153846156,0.4166666666666667,NA,NA,0,0.8782051282051282,Batter
523260,Joe Kelly,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,NA,NA,NA,0,2,57.14285714285714,NA,Pitcher
534910,Jesse Hahn,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,NA,NA,NA,0,5,66.66666666666666,NA,Pitcher
541650,Hernán Pérez,AAA,3,10,0,0,0,0,0,2,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
542208,Carlos Pérez,AAA,1,5,1,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,NA,NA,0,1.2000000000000002,Batter
542882,Matt Andriese,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,0,1,0,0,NA,NA,NA,13.5,2,66.66666666666666,NA,Pitcher
542947,Richard Bleier,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,2,2,NA,NA,NA,9,3,55.55555555555556,NA,Pitcher
542963,Rob Brantly,AAA,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,NA,NA,0,1.1666666666666665,Batter
543238,Anthony Gose,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,52.63157894736842,NA,Pitcher
543592,Austin Nola,AAA,1,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
543766,Bryan Shaw,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1,1,0,1,0,NA,NA,NA,0,0.9090909090909091,60,NA,Pitcher
545350,Jake Marisnick,AAA,1,4,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
546276,Edwin Escobar,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3,3,3,0,3,1,1,0,NA,NA,NA,12.857142857142856,1.4285714285714286,68.57142857142857,NA,Pitcher
546994,C.J. Hinojosa,AAA,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
